"Team","Off.Rank","Games","Win-Loss","Off.Plays","Off.Yards","Off.Yards/Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards/Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown_x","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Off.Rank","Touchdowns","PAT","2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards/Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds/Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown_y","Pass.Yards","Pass.Yards/Attempt","Yards/Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards/Attempt.Allowed","Yards/Completion.Allowed","Pass.Yards.Per.Game.Allowed","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","3rd.Down.Rank","3rd.Attempts","3rd.Conversions","3rd.Percent","3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","4th.Down.Rank","4th.Attempts","4th.Conversions","4th.Percent","4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent"
"California (Pac-12)",90,12,4-8,785,4375,5.57,33,364.6,109,883,5143,5.82,42,43,428.6,28,7,11,18,3,9,12,6,0.5,97,344:30,28:42,120,38,30,201,53,4.4,88,31,251,2.58,96,36,31,2,0,12,0,287,23.9,80,43,39,2,0,11,0,334,27.8,123,319,1159,3.63,10,96.6,64,426,1789,4.2,19,149.1,76,40,8,16,9,33,0.825,49,48,17,16,6,39,0.812,101,23,228,1,9.91,101,23,228,1,9.91,29,466,291,9,3216,6.9,11.05,23,268.0,123,300,457,3354,23,7.34,11.18,279.5,99,19,342,0,18.0,63,23,29,456,0,19.83,114,107,162,12,281,114,107,162,12,281,28,63,535,44.58,105,167,59,0.353,73,66,169,0.391,62,12,23,0.522,97,15,26,0.577
"Wisconsin (Big Ten)",91,12,6-6,754,4353,5.77,39,362.8,13,762,3665,4.81,30,31,305.4,55,3,15,18,6,10,16,2,0.17,51,366:41,30:33,34,61,36,311,79,6.6,66,25,157,2.08,78,41,39,0,0,11,0,318,26.5,27,31,30,0,0,10,0,246,20.5,53,454,2079,4.58,19,173.2,12,417,1238,2.97,14,103.2,63,39,13,12,8,33,0.846,18,39,13,10,7,30,0.769,95,20,181,0,9.05,95,20,181,0,9.05,112,300,172,10,2274,7.58,13.22,20,189.5,29,208,345,2427,16,7.03,11.67,202.2,28,23,508,0,22.09,5,21,32,323,0,15.38,12,67,111,19,197,12,67,111,19,197,101,79,731,60.92,45,155,64,0.413,24,55,166,0.331,110,5,13,0.385,53,10,21,0.476
"Utah St. (Mountain West)",92,12,6-6,890,4345,4.88,31,362.1,84,826,4759,5.76,41,44,396.6,113,6,11,17,6,18,24,-7,-0.58,79,350:26,29:12,31,49,62,252,80,6.7,71,26,133,2.17,99,35,32,1,0,11,1,279,23.2,103,44,40,3,0,19,0,367,30.6,59,515,1943,3.77,14,161.9,118,483,2378,4.92,17,198.2,128,37,10,8,8,26,0.703,125,43,12,17,11,40,0.93,42,14,78,0,5.57,42,14,78,0,5.57,105,375,215,18,2402,6.41,11.17,17,200.2,25,184,343,2381,24,6.94,12.94,198.4,96,26,479,1,18.42,56,22,21,427,0,19.41,78,119,106,27,252,78,119,106,27,252,131,103,953,79.42,115,188,61,0.324,85,70,173,0.405,58,18,34,0.529,91,8,14,0.571
"Stanford (Pac-12)",93,12,3-9,824,4339,5.27,29,361.6,112,794,5209,6.56,47,50,434.1,122,5,6,11,13,8,21,-10,-0.83,64,358:49,29:54,71,52,30,266,67,5.6,121,41,209,3.42,109,29,24,2,0,18,0,256,21.3,111,50,45,1,0,13,0,386,32.2,118,376,1288,3.43,14,107.3,127,443,2693,6.08,25,224.4,39,31,13,8,6,27,0.871,26,45,14,12,9,35,0.778,66,22,154,0,7.0,66,22,154,0,7.0,46,448,275,8,3051,6.81,11.09,15,254.2,41,203,351,2516,22,7.17,12.39,209.7,71,45,888,0,19.73,21,11,40,188,0,17.09,99,135,107,23,265,99,135,107,23,265,19,55,495,41.25,79,164,62,0.378,35,53,155,0.342,61,11,21,0.524,131,17,23,0.739
"Texas A&M (SEC)",94,12,5-7,757,4331,5.72,30,360.9,52,847,4380,5.17,28,31,365.0,77,12,4,16,11,6,17,-1,-0.08,114,334:22,27:52,59,57,28,241,71,5.9,66,25,151,2.08,102,33,31,1,0,14,0,273,22.8,28,30,29,0,0,13,0,248,20.7,82,366,1698,4.64,12,141.5,124,520,2506,4.82,13,208.8,24,38,11,12,11,34,0.895,8,44,12,10,10,32,0.727,28,13,58,0,4.46,28,13,58,0,4.46,83,391,220,6,2633,6.73,11.97,18,219.4,1,184,327,1874,15,5.73,10.18,156.2,26,23,510,1,22.17,131,6,47,200,1,33.33,71,129,95,25,249,71,129,95,25,249,49,76,589,49.08,101,153,55,0.359,44,62,174,0.356,117,4,11,0.364,62,11,22,0.5
"Eastern Mich. (MAC)",95,12,8-4,824,4323,5.25,43,360.2,54,801,4403,5.5,42,43,366.9,69,7,10,17,6,11,17,0,0.0,36,373:34,31:08,115,42,24,220,54,4.5,84,29,218,2.42,64,44,43,0,0,13,0,346,28.8,89,43,37,0,0,16,0,343,28.6,78,462,1710,3.7,22,142.5,80,447,1897,4.24,22,158.1,3,45,21,13,9,43,0.956,128,46,17,14,12,43,0.935,41,18,100,0,5.56,41,18,100,0,5.56,85,362,226,11,2613,7.22,11.56,21,217.8,39,200,354,2506,20,7.08,12.53,208.8,77,37,722,1,19.51,83,35,28,738,0,21.09,76,101,113,37,251,76,101,113,37,251,130,101,925,77.08,28,162,73,0.451,110,70,163,0.429,108,9,23,0.391,118,11,17,0.647
"San Jose St. (Mountain West)",96,11,7-4,703,3921,5.58,38,356.5,26,733,3663,5.0,25,28,333.0,4,5,13,18,2,4,6,12,1.09,96,316:08,28:44,10,67,28,314,81,7.4,127,40,283,3.64,74,38,34,1,0,12,1,302,27.5,22,28,24,1,0,9,1,223,20.3,124,318,1017,3.2,18,92.5,28,412,1349,3.27,12,122.6,71,48,16,12,12,40,0.833,6,35,11,8,6,25,0.714,118,8,105,1,13.12,118,8,105,1,13.12,34,385,234,4,2904,7.54,12.41,20,264.0,45,195,321,2314,13,7.21,11.87,210.4,116,21,358,0,17.05,6,34,10,532,2,15.65,16,82,106,15,203,16,82,106,15,203,46,64,532,48.36,96,137,50,0.365,74,61,156,0.391,80,7,15,0.467,100,14,24,0.583
"Michigan St. (Big Ten)",97,12,5-7,773,4236,5.48,39,353.0,104,860,4998,5.81,40,41,416.5,98,10,2,12,4,12,16,-4,-0.33,127,314:41,26:13,42,56,40,320,76,6.3,34,18,139,1.5,91,40,31,2,0,6,0,293,24.4,76,41,38,2,0,13,1,329,27.4,112,361,1356,3.76,16,113.0,102,500,2143,4.29,14,178.6,124,39,15,10,3,28,0.718,28,47,12,17,8,37,0.787,49,15,89,0,5.93,49,15,89,0,5.93,56,412,258,12,2880,6.99,11.16,23,240.0,87,239,360,2855,26,7.93,11.95,237.9,94,23,424,0,18.43,73,31,13,633,1,20.42,105,114,140,18,272,105,114,140,18,272,71,70,659,54.92,72,152,59,0.388,113,77,177,0.435,101,12,29,0.414,109,16,26,0.615
"UNLV (Mountain West)",98,12,5-7,763,4225,5.54,33,352.1,72,839,4599,5.48,40,41,383.2,28,6,15,21,8,7,15,6,0.5,95,345:05,28:45,88,56,12,248,62,5.2,111,37,216,3.08,79,37,34,2,0,18,1,316,26.3,88,41,38,1,0,18,1,342,28.5,87,402,1645,4.09,18,137.1,78,481,1890,3.93,19,157.5,59,40,14,9,11,34,0.85,34,54,17,11,15,43,0.796,81,20,165,0,8.25,81,20,165,0,8.25,90,361,227,7,2580,7.15,11.37,15,215.0,72,223,358,2709,21,7.57,12.15,225.8,51,19,396,0,20.84,10,28,22,465,1,16.61,74,116,111,23,250,74,116,111,23,250,85,69,685,57.08,116,155,50,0.323,59,60,161,0.373,63,10,20,0.5,107,17,28,0.607
"Temple (AAC)",99,12,3-9,802,4206,5.24,29,350.5,78,832,4694,5.64,42,44,391.2,124,6,6,12,11,12,23,-11,-0.92,123,322:45,26:54,11,74,28,341,88,7.3,8,10,58,0.83,106,32,28,1,0,13,1,263,21.9,93,44,43,1,0,14,0,351,29.2,129,318,989,3.11,11,82.4,114,506,2311,4.57,21,192.6,56,34,8,11,10,29,0.853,49,48,15,13,11,39,0.812,24,13,54,0,4.15,24,13,54,0,4.15,28,484,288,12,3217,6.65,11.17,18,268.1,26,209,326,2383,21,7.31,11.4,198.6,124,41,673,0,16.41,90,36,6,773,1,21.47,44,110,110,12,232,44,110,110,12,232,11,55,444,37.0,113,173,57,0.329,47,63,174,0.362,98,14,33,0.424,62,13,26,0.5
"Vanderbilt (SEC)",100,12,5-7,791,4167,5.27,35,347.2,125,796,5536,6.95,54,56,461.3,77,11,6,17,12,6,18,-1,-0.08,25,384:40,32:03,85,48,30,190,63,5.2,25,15,87,1.25,90,39,36,2,0,7,0,295,24.6,125,56,51,0,0,15,0,432,36.0,60,445,1919,4.31,13,159.9,95,397,2050,5.16,25,170.8,52,35,10,14,6,30,0.857,76,45,13,15,10,38,0.844,125,25,379,1,15.16,125,25,379,1,15.16,113,346,200,6,2248,6.5,11.24,22,187.3,128,257,399,3486,29,8.74,13.56,290.5,40,24,511,0,21.29,58,23,26,448,0,19.48,85,90,145,21,256,85,90,145,21,256,35,63,553,46.08,88,171,63,0.368,80,60,151,0.397,113,11,29,0.379,36,12,27,0.444
"Nebraska (Big Ten)",101,12,4-8,761,4130,5.43,34,344.2,100,907,4973,5.48,40,41,414.4,91,7,9,16,6,13,19,-3,-0.25,124,320:45,26:44,98,47,26,232,60,5.0,97,32,247,2.71,103,35,34,0,0,9,0,271,22.6,79,41,37,0,0,16,0,331,27.6,100,420,1480,3.52,17,123.3,110,499,2269,4.55,22,189.1,56,34,15,7,7,29,0.853,116,41,16,11,10,37,0.902,94,20,179,0,8.95,94,20,179,0,8.95,82,341,205,13,2650,7.77,12.93,17,220.8,70,243,408,2704,18,6.63,11.13,225.3,115,26,444,0,17.08,30,15,36,270,0,18.0,109,133,129,14,276,109,133,129,14,276,23,65,510,42.5,56,165,66,0.4,104,75,177,0.424,95,3,7,0.429,121,10,15,0.667
"Virginia (ACC)",102,10,3-7,670,3441,5.14,20,344.1,44,719,3576,4.97,22,26,357.6,123,8,5,13,10,12,22,-9,-0.9,118,275:36,27:34,98,37,26,211,50,5.0,120,34,227,3.4,126,20,17,0,0,11,0,170,17.0,47,26,25,1,0,19,0,240,24.0,103,329,1231,3.74,13,123.1,72,407,1532,3.76,12,153.2,120,32,12,4,8,24,0.75,104,34,10,5,15,30,0.882,117,24,314,0,13.08,117,24,314,0,13.08,81,341,185,12,2210,6.48,11.95,7,221.0,32,191,312,2044,10,6.55,10.7,204.4,30,20,440,0,22.0,123,13,25,324,0,24.92,18,85,103,20,208,18,85,103,20,208,108,70,622,62.2,118,137,44,0.321,55,57,154,0.37,109,7,18,0.389,91,8,14,0.571
"NC State (ACC)",103,12,8-4,847,4122,4.87,31,343.5,21,772,3908,5.06,27,28,325.7,28,3,17,20,8,6,14,6,0.5,26,383:30,31:57,25,50,62,291,81,6.8,71,26,148,2.17,85,33,31,0,0,25,0,304,25.3,14,28,26,0,0,13,0,233,19.4,107,424,1452,3.42,8,121.0,11,349,1233,3.53,13,102.8,49,43,7,13,17,37,0.86,102,33,12,8,9,29,0.879,93,19,170,0,8.95,93,19,170,0,8.95,77,423,247,6,2670,6.31,10.81,23,222.5,65,244,423,2675,14,6.32,10.96,222.9,13,19,438,0,23.05,68,22,38,443,1,20.14,14,60,113,25,198,14,60,113,25,198,93,89,712,59.33,85,178,66,0.371,16,53,171,0.31,99,8,19,0.421,15,8,21,0.381
"Hawaii (Mountain West)",104,13,3-10,896,4456,4.97,29,342.8,114,863,5696,6.6,49,55,438.2,116,2,10,12,8,12,20,-8,-0.62,105,367:40,28:17,125,41,26,198,54,4.2,40,20,146,1.54,116,30,27,1,0,16,0,257,19.8,124,55,53,1,0,22,0,451,34.7,86,406,1784,4.39,16,137.2,126,495,2773,5.6,28,213.3,79,39,11,7,14,32,0.821,105,60,21,15,17,53,0.883,91,15,132,0,8.8,91,15,132,0,8.8,99,490,261,12,2672,5.45,10.24,13,205.5,68,235,368,2923,21,7.94,12.44,224.8,126,41,656,0,16.0,40,9,38,165,0,18.33,115,132,129,21,282,115,132,129,21,282,53,73,653,50.23,107,194,67,0.345,77,62,157,0.395,58,18,34,0.529,83,13,24,0.542
"Old Dominion (Sun Belt)",105,12,3-9,732,4073,5.56,27,339.4,117,927,5311,5.73,36,37,442.6,69,7,12,19,12,7,19,0,0.0,130,302:20,25:12,50,47,54,301,74,6.2,102,35,218,2.92,117,29,28,1,0,10,0,234,19.5,65,37,35,0,0,20,1,319,26.6,125,311,1107,3.56,8,92.2,119,569,2380,4.18,19,198.3,108,28,5,9,8,22,0.786,13,47,14,7,14,35,0.745,13,18,55,0,3.06,13,18,55,0,3.06,53,421,237,7,2966,7.05,12.51,19,247.2,94,232,358,2931,17,8.19,12.63,244.2,70,25,494,0,19.76,71,26,22,525,0,20.19,117,130,126,27,283,117,130,126,27,283,100,81,730,60.83,125,160,47,0.294,91,77,187,0.412,117,8,22,0.364,109,16,26,0.615
"Bowling Green (MAC)",106,12,6-6,807,4036,5.0,32,336.3,105,868,5048,5.82,48,51,420.7,62,13,9,22,11,10,21,1,0.08,68,356:12,29:41,25,62,38,331,81,6.8,106,36,241,3.0,97,36,32,4,0,10,0,286,23.8,116,51,47,5,0,12,0,399,33.2,121,394,1195,3.03,8,99.6,86,463,1956,4.22,21,163.0,113,36,7,12,9,28,0.778,57,50,19,15,7,41,0.82,22,14,57,0,4.07,22,14,57,0,4.07,59,413,251,10,2841,6.88,11.32,24,236.8,103,264,405,3092,27,7.63,11.71,257.7,50,33,688,0,20.85,96,32,16,696,0,21.75,89,102,139,19,260,89,102,139,19,260,128,97,870,72.5,110,179,61,0.341,122,83,183,0.454,89,11,25,0.44,62,13,26,0.5
"Kentucky (SEC)",106,12,7-5,744,4036,5.42,30,336.3,18,732,3842,5.25,25,26,320.2,69,7,10,17,6,11,17,0,0.0,10,396:54,33:05,123,36,30,216,51,4.2,124,42,285,3.5,105,32,25,0,0,16,0,265,22.1,12,26,20,2,0,15,2,229,19.1,109,432,1443,3.34,9,120.2,60,409,1761,4.31,16,146.8,107,47,8,17,12,37,0.787,49,32,12,5,9,26,0.812,119,8,108,0,13.5,119,8,108,0,13.5,88,312,202,11,2593,8.31,12.84,21,216.1,7,192,323,2081,9,6.44,10.84,173.4,91,26,490,1,18.85,118,14,43,334,0,23.86,8,83,91,13,187,8,83,91,13,187,16,71,479,39.92,88,152,56,0.368,43,57,160,0.356,24,13,21,0.619,31,12,28,0.429
"Northwestern (Big Ten)",108,12,1-11,886,4025,4.54,21,335.4,65,809,4497,5.56,41,43,374.8,131,6,6,12,14,17,31,-19,-1.58,85,348:18,29:01,113,42,26,213,55,4.6,48,21,130,1.75,128,21,18,0,0,7,0,165,13.8,84,43,43,0,0,13,0,340,28.3,97,469,1501,3.2,11,125.1,111,497,2296,4.62,24,191.3,119,33,11,7,7,25,0.758,107,44,19,11,9,39,0.886,74,13,98,0,7.54,74,13,98,0,7.54,95,417,245,17,2524,6.05,10.3,10,210.3,12,185,312,2201,17,7.05,11.9,183.4,119,11,184,0,16.73,4,20,8,297,0,14.85,61,125,98,21,244,61,125,98,21,244,17,55,490,40.83,83,193,72,0.373,98,69,165,0.418,77,19,40,0.475,129,12,17,0.706
"Southern Miss. (Sun Belt)",109,12,6-6,768,3990,5.2,30,332.5,55,826,4413,5.34,33,33,367.8,82,4,16,20,8,14,22,-2,-0.17,99,344:03,28:40,3,73,56,375,101,8.4,92,32,201,2.67,94,34,32,0,0,17,2,291,24.2,45,33,30,1,1,16,1,282,23.5,99,440,1481,3.37,13,123.4,46,455,1674,3.68,15,139.5,104,34,8,5,14,27,0.794,85,35,13,7,10,30,0.857,65,9,62,0,6.89,65,9,62,0,6.89,96,328,182,14,2509,7.65,13.79,17,209.1,74,224,371,2739,18,7.38,12.23,228.2,66,19,377,0,19.84,109,23,35,531,0,23.09,41,95,113,20,228,41,95,113,20,228,90,80,704,58.67,106,170,59,0.347,51,67,183,0.366,20,12,19,0.632,3,6,24,0.25
"Indiana (Big Ten)",110,12,4-8,879,3939,4.48,31,328.2,119,916,5391,5.89,49,53,449.2,98,7,7,14,5,13,18,-4,-0.33,129,306:45,25:34,87,44,37,265,62,5.2,113,38,294,3.17,99,34,27,2,0,14,1,279,23.2,121,53,50,0,0,13,0,407,33.9,114,396,1330,3.36,15,110.8,100,507,2101,4.14,19,175.1,121,43,10,12,10,32,0.744,27,55,15,19,9,43,0.782,92,27,238,1,8.81,92,27,238,1,8.81,87,483,261,13,2609,5.4,10.0,16,217.4,119,262,409,3290,30,8.04,12.56,274.2,11,30,717,2,23.9,110,18,30,417,0,23.17,109,104,149,23,276,109,104,149,23,276,33,60,543,45.25,112,191,64,0.335,106,78,184,0.424,115,9,24,0.375,36,8,18,0.444
"Navy (AAC)",111,12,4-8,834,3922,4.7,31,326.8,30,703,4068,5.79,32,34,339.0,48,11,8,19,10,6,16,3,0.25,3,415:36,34:38,37,55,46,318,78,6.5,10,12,60,1.0,106,32,26,2,0,13,1,263,21.9,52,34,32,1,0,18,0,292,24.3,7,708,2894,4.09,22,241.2,6,355,1067,3.01,7,88.9,80,33,16,1,10,27,0.818,106,35,5,11,15,31,0.886,32,17,83,1,4.88,32,17,83,1,4.88,129,126,54,6,1028,8.16,19.04,9,85.7,98,220,348,3001,25,8.62,13.64,250.1,74,22,431,0,19.59,2,24,14,342,0,14.25,8,64,110,13,187,8,64,110,13,187,3,46,376,31.33,80,196,74,0.378,45,55,154,0.357,28,23,38,0.605,98,11,19,0.579
"ULM (Sun Belt)",112,12,4-8,750,3912,5.22,32,326.0,108,829,5133,6.19,46,53,427.8,113,2,6,8,8,7,15,-7,-0.58,72,353:49,29:29,68,56,24,257,68,5.7,102,35,222,2.92,104,34,32,1,0,10,0,268,22.3,122,53,53,0,0,14,0,413,34.4,108,418,1448,3.46,16,120.7,117,483,2341,4.85,29,195.1,34,33,13,8,8,29,0.879,109,53,26,10,11,47,0.887,128,27,477,3,17.67,128,27,477,3,17.67,100,332,221,7,2464,7.42,11.15,16,205.3,79,230,346,2792,17,8.07,12.14,232.7,105,29,511,0,17.62,130,22,22,649,1,29.5,88,117,127,14,258,88,117,127,14,258,30,59,537,44.75,55,167,67,0.401,109,73,171,0.427,123,5,15,0.333,47,13,28,0.464
"Texas St. (Sun Belt)",113,12,4-8,827,3902,4.72,28,325.2,47,822,4333,5.27,36,39,361.1,48,9,11,20,7,10,17,3,0.25,55,365:27,30:27,38,58,38,287,77,6.4,79,27,205,2.25,111,30,28,0,0,15,0,253,21.1,62,39,36,1,0,14,1,316,26.3,120,383,1249,3.26,9,104.1,21,403,1394,3.46,18,116.2,11,35,7,13,12,32,0.914,41,41,15,8,10,33,0.805,69,13,93,0,7.15,69,13,93,0,7.15,80,444,275,10,2653,5.98,9.65,19,221.1,95,272,419,2939,18,7.01,10.81,244.9,110,25,434,0,17.36,47,35,18,655,0,18.71,29,72,133,16,221,29,72,133,16,221,29,59,536,44.67,92,185,68,0.368,42,62,175,0.354,123,7,21,0.333,103,17,29,0.586
"Georgia Tech (ACC)",114,12,5-7,807,3898,4.83,23,324.8,89,866,4812,5.56,37,42,401.0,7,13,11,24,4,9,13,11,0.92,103,341:30,28:27,47,62,26,286,75,6.2,115,39,239,3.25,125,24,20,0,0,14,0,206,17.2,87,42,39,1,0,16,0,341,28.4,91,426,1592,3.74,13,132.7,108,500,2263,4.53,20,188.6,126,38,10,5,12,27,0.711,40,46,16,8,13,37,0.804,130,37,686,3,18.54,130,37,686,3,18.54,111,381,219,9,2306,6.05,10.53,10,192.2,48,213,366,2549,17,6.96,11.97,212.4,47,13,273,0,21.0,66,21,24,422,0,20.1,108,128,115,31,274,108,128,115,31,274,57,69,623,51.92,122,180,55,0.306,65,66,171,0.386,123,8,24,0.333,115,14,22,0.636
"New Mexico St. (FBS Independent)",115,12,6-6,688,3891,5.66,40,324.2,31,825,4074,4.94,34,35,339.5,106,6,6,12,6,12,18,-6,-0.5,116,330:57,27:35,59,56,30,268,71,5.9,25,15,112,1.25,82,41,38,0,0,7,1,307,25.6,52,35,34,0,0,16,0,292,24.3,65,412,1859,4.51,24,154.9,75,475,1870,3.94,21,155.8,52,35,21,5,4,30,0.857,62,41,15,9,10,34,0.829,6,14,31,0,2.21,6,14,31,0,2.21,120,276,142,12,2032,7.36,14.31,16,169.3,13,205,350,2204,13,6.3,10.75,183.7,106,13,229,0,17.62,102,29,24,644,0,22.21,54,105,111,22,238,54,105,111,22,238,83,77,682,56.83,99,147,53,0.361,60,63,168,0.375,5,11,15,0.733,75,12,23,0.522
"FIU (C-USA)",116,12,4-8,824,3885,4.71,27,323.8,122,897,5425,6.05,55,58,452.1,106,9,7,16,6,16,22,-6,-0.5,121,327:09,27:16,59,56,30,252,71,5.9,34,18,114,1.5,121,29,23,2,0,7,1,224,18.7,127,58,53,1,0,14,1,447,37.2,119,356,1260,3.54,11,105.0,112,493,2301,4.67,31,191.8,130,34,9,10,4,23,0.676,71,62,26,13,13,52,0.839,103,10,101,0,10.1,103,10,101,0,10.1,84,468,271,16,2625,5.61,9.69,16,218.8,106,266,404,3124,24,7.73,11.74,260.3,60,35,712,0,20.34,100,18,23,398,0,22.11,120,120,142,29,291,120,120,142,29,291,64,74,640,53.33,127,173,50,0.289,129,90,182,0.495,95,15,35,0.429,77,11,21,0.524
"San Diego St. (Mountain West)",117,12,7-5,739,3860,5.22,24,321.7,27,779,4025,5.17,32,32,335.4,77,7,12,19,9,11,20,-1,-0.08,42,370:18,30:52,38,52,50,323,77,6.4,66,25,154,2.08,109,29,29,0,0,17,1,256,21.3,19,32,30,1,0,6,0,242,20.2,68,439,1809,4.12,11,150.8,37,406,1546,3.81,13,128.8,85,32,5,7,14,26,0.812,4,37,9,11,5,25,0.676,38,24,130,0,5.42,38,24,130,0,5.42,119,300,167,11,2051,6.84,12.28,13,170.9,35,229,373,2479,19,6.65,10.83,206.6,59,32,652,1,20.38,75,24,32,493,0,20.54,20,85,109,17,211,20,85,109,17,211,83,87,682,56.83,123,161,48,0.298,54,61,166,0.367,4,13,17,0.765,4,3,11,0.273
"Wyoming (Mountain West)",118,12,7-5,720,3786,5.26,24,315.5,58,828,4431,5.35,33,34,369.2,82,7,6,13,4,11,15,-2,-0.17,83,349:10,29:06,71,53,28,285,67,5.6,25,15,115,1.25,112,27,25,1,0,20,0,249,20.8,41,34,34,0,0,13,2,281,23.4,37,446,2253,5.05,14,187.8,67,429,1794,4.18,16,149.5,25,28,9,4,12,25,0.893,76,45,14,12,12,38,0.844,112,23,279,1,12.13,112,23,279,1,12.13,125,274,138,11,1533,5.59,11.11,10,127.8,62,241,399,2637,17,6.61,10.94,219.8,37,12,258,0,21.5,105,26,27,584,0,22.46,47,104,112,17,233,47,104,112,17,233,12,53,460,38.33,111,159,54,0.34,62,66,175,0.377,126,2,7,0.286,88,10,18,0.556
"Arkansas St. (Sun Belt)",119,12,3-9,777,3777,4.86,32,314.8,91,835,4861,5.82,48,50,405.1,48,6,6,12,4,5,9,3,0.25,86,347:55,29:00,42,52,48,242,76,6.3,113,38,274,3.17,87,35,31,1,0,17,3,300,25.0,108,50,42,3,0,9,1,377,31.4,128,381,1058,2.78,16,88.2,84,484,1949,4.03,23,162.4,9,36,13,9,11,33,0.917,124,36,17,10,6,33,0.917,60,26,174,0,6.69,60,26,174,0,6.69,73,396,247,5,2719,6.87,11.01,16,226.6,92,212,351,2912,25,8.3,13.74,242.7,33,51,"1,106",1,21.69,33,25,27,451,0,18.04,71,114,110,25,249,71,114,110,25,249,77,69,663,55.25,126,167,49,0.293,49,63,173,0.364,38,14,24,0.583,117,16,25,0.64
"Virginia Tech (ACC)",120,11,3-8,734,3448,4.7,24,313.5,61,755,4074,5.4,28,31,370.4,112,5,4,9,6,9,15,-6,-0.55,90,318:05,28:55,30,48,52,258,74,6.7,106,33,227,3.0,118,27,23,0,0,9,0,212,19.3,55,31,27,0,0,19,1,272,24.7,115,388,1212,3.12,15,110.2,39,381,1487,3.9,15,135.2,78,28,14,4,5,23,0.821,114,38,11,8,15,34,0.895,12,11,32,0,2.91,12,11,32,0,2.91,102,346,203,9,2236,6.46,11.01,9,203.3,83,222,374,2587,13,6.92,11.65,235.2,86,27,516,0,19.11,128,13,32,353,1,27.15,31,88,107,28,223,31,88,107,28,223,89,81,643,58.45,120,159,50,0.314,33,56,164,0.341,95,6,14,0.429,111,10,16,0.625
